9,99,1,1,1
9,99,1,0,0
9,99,0,0,0
9,99,0,0,0
9,99,0,0,0
9,99,0,1,1
9,99,1,1,1
9,99,1,1,1
8,99,1,1,1
8,99,1,1,1
8,99,1,1,0
8,99,0,1,1
8,99,0,1,1
8,99,0,1,1
8,99,0,1,0
8,99,1,1,1
8,99,1,1,1
7,99,1,1,1
7,99,1,0,1
7,99,1,0,1
6,98,1,0,1
6,98,1,0,1
6,98,1,0,1
5,98,0,1,0
4,98,1,1,0
4,98,0,1,0
4,98,0,1,0
6,98,1,1,1
6,98,0,1,1
5,98,0,1,1
4,98,0,1,1
4,98,0,1,1
4,98,1,1,1
4,98,1,1,1
3,97,0,1,0
3,96,1,1,0
3,96,1,1,0
3,96,1,1,1
3,96,1,1,1
3,96,1,1,1
3,96,1,1,1
3,96,0,1,0
3,96,0,1,0
3,96,1,0,1
3,97,1,1,1
3,97,1,1,1
3,96,1,1,1
3,96,1,0,1
3,96,1,0,1
3,96,1,0,0
3,96,1,0,0
2,95,1,0,0
2,95,1,0,0
2,95,1,0,0
2,95,1,0,1
2,95,1,0,1
2,95,1,0,1
2,95,1,1,1
3,97,0,1,1
2,95,1,1,1
2,95,1,1,1
2,95,1,1,1
2,95,1,1,1
2,95,1,1,1
